date,product,price
2001-01-01,arroz,495.83
2001-01-01,cerdo,53.6
2001-01-01,cerdo,156.08
2001-01-01,cerdo,156.08
2001-01-01,arroz,300.44
2001-01-01,ternera,277.25
2001-01-01,arroz,276.47
2001-01-01,ternera,230.72
2001-01-01,ternera,122.9
2001-01-10,queso edam,546.15
2001-01-10,cerdo,156.64
2001-01-10,cerdo,32.76
2001-01-10,arroz,298.34
2001-01-10,cerdo,156.64
2001-01-10,arroz,271.92
2001-01-10,ternera,139.25
2001-01-10,ternera,235.33
2001-01-10,mantequilla,296.27
2001-01-10,queso emmental,655.62
2001-01-10,ternera,294.31
2001-01-15,cerdo,156.75
2001-01-15,arroz,289.99
2001-01-15,cerdo,156.75
2001-01-15,arroz,321.48
2001-01-15,arroz,495.83
2001-01-15,ternera,131.05
2001-01-15,ternera,278.08
2001-01-15,queso edam,538.42
2001-01-15,queso emmental,648.06
2001-01-15,mantequilla,301.11
2001-01-15,cerdo,51.19
2001-01-15,ternera,228.17
2001-01-22,arroz,510.86
2001-01-22,arroz,289.99
2001-01-22,queso edam,538.42
2001-01-22,cerdo,48.02
2001-01-22,cerdo,157.17
2001-01-22,arroz,312.46
2001-01-22,ternera,265.73
2001-01-22,ternera,122.07
2001-01-22,ternera,214.53
2001-01-22,cerdo,157.17
2001-01-22,queso emmental,648.06
2001-01-22,mantequilla,291.42
2001-01-29,arroz,510.86
2001-01-29,ternera,115.63
2001-01-29,ternera,215.19
2001-01-29,arroz,318.47
2001-01-29,ternera,249.91
2001-01-29,arroz,289.99
2001-01-29,cerdo,163.67
2001-01-29,cerdo,163.67
2001-01-29,cerdo,52.89
2001-01-29,queso edam,538.42
2001-01-29,mantequilla,289.43
2001-01-29,queso emmental,648.52
2001-02-04,ternera,217.21
2001-02-04,cerdo,189.04
2001-02-04,arroz,298.28
2001-02-04,ternera,219.18
2001-02-04,arroz,510.86
2001-02-04,arroz,321.81
2001-02-04,cerdo,58.76
2001-02-04,cerdo,189.04
2001-02-04,ternera,144.22
2001-02-04,queso emmental,653.26
2001-02-04,queso edam,545.97
2001-02-04,mantequilla,294.99
2001-02-07,mantequilla,311.79
2001-02-07,ternera,249.19
2001-02-07,arroz,540.91
2001-02-07,ternera,145.35
2001-02-07,cerdo,198.81
2001-02-07,cerdo,41.75
2001-02-07,ternera,234.46
2001-02-07,queso emmental,655.62
2001-02-07,cerdo,198.81
2001-02-07,queso edam,546.08
2001-02-07,arroz,301.95
2001-02-19,ternera,218.29
2001-02-19,ternera,228.17
2001-02-19,ternera,115.21
2001-02-19,cerdo,192.69
2001-02-19,arroz,292.99
2001-02-19,cerdo,192.69
2001-02-19,cerdo,64.49
2001-02-19,arroz,336.5
2001-02-19,mantequilla,290.05
2001-02-19,queso emmental,648.52
2001-02-19,queso edam,538.42
2001-02-19,arroz,510.86
2001-02-26,arroz,295.99
2001-02-26,queso edam,538.42
2001-02-26,queso emmental,648.52
2001-02-26,mantequilla,290.05
2001-02-26,arroz,510.86
2001-02-26,cerdo,199.98
2001-02-26,cerdo,199.98
2001-02-26,cerdo,64.19
2001-02-26,arroz,321.81
2001-02-26,ternera,120.62
2001-02-26,ternera,211.23
2001-02-26,ternera,210.31
2001-03-09,ternera,244.16
2001-03-09,queso emmental,655.62
2001-03-09,ternera,291.33
2001-03-09,cerdo,173.84
2001-03-09,ternera,139.45
2001-03-09,cerdo,173.84
2001-03-09,mantequilla,311.79
2001-03-09,cerdo,39.61
2001-03-09,queso edam,546.08
2001-03-12,cerdo,139.96
2001-03-12,arroz,274.18
2001-03-12,arroz,280.97
2001-03-12,cerdo,42.92
2001-03-12,ternera,277.34
2001-03-12,ternera,140.61
2001-03-12,ternera,323.37
2001-03-12,queso edam,549.87
2001-03-12,queso emmental,655.62
2001-03-12,mantequilla,282.48
2001-03-12,cerdo,139.96
2001-03-19,ternera,213.6
2001-03-19,arroz,510.86
2001-03-19,arroz,321.81
2001-03-19,cerdo,66.83
2001-03-19,cerdo,203.76
2001-03-19,cerdo,203.76
2001-03-19,arroz,299.0
2001-03-19,ternera,210.35
2001-03-19,ternera,132.99
2001-03-19,queso edam,545.97
2001-03-19,queso emmental,653.26
2001-03-19,mantequilla,289.09
2001-03-26,arroz,321.81
2001-03-26,cerdo,63.84
2001-03-26,ternera,212.93
2001-03-26,cerdo,200.02
2001-03-26,ternera,204.55
2001-03-26,arroz,510.86
2001-03-26,ternera,141.59
2001-03-26,queso edam,545.97
2001-03-26,cerdo,200.02
2001-03-26,queso emmental,653.26
2001-03-26,mantequilla,292.69
2001-03-26,arroz,298.28
2001-04-06,queso edam,546.06
